Kanji Frequency Count,Unique Word Count,Kanji,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6
264609,56,夜,夜,今夜,昨夜,深夜,夜中,一夜
262934,69,発,発見,出発,発,爆発,発表,発す
261550,49,味,意味,興味,味,味方,趣味,味わう
261290,52,性,性,女性,性格,男性,性質,理性
260854,58,食,食べる,食う,食事,夕食,食堂,食
259896,60,然,当然,突然,自然,全然,偶然,然
259035,38,対,に対して,絶対,に対する,反対,対,対象
256976,67,主,主人,主,主義,主張,亭主,坊主
254580,64,用,用,用意,利用,信用,使用,用いる
254079,58,信,信じる,自信,信長,確信,信用,信頼
252776,42,音,音,音楽,足音,物音,発音,観音
250826,41,殺,殺す,殺人,自殺,殺し,殺害,殺る
249039,35,現,現在,現実,現れる,現われる,現場,表現
246566,73,白,白い,面白い,白,告白,青白い,白髪
245728,42,夫,夫人,夫,大丈夫,夫婦,夫妻,太夫
245723,54,車,車,馬車,電車,列車,自動車,自転車
243890,65,着,着る,着く,落ち着く,到着,着物,着
243606,31,父,父,父親,お父さん,親父,祖父,叔父
243263,10,以,以上,以外,以前,以来,以下,以後
242697,91,新,新しい,新聞,新,新た,新宿,新城
242440,33,親,母親,父親,親,両親,親父,親しい
240429,52,悪,悪い,悪魔,悪,憎悪,嫌悪,最悪
239055,19,君,君,諸君,君たち,細君,主君,姫君
237637,67,返,返す,返事,振り返る,繰り返す,返る,折り返す
237272,100,郎,郎,太郎,野郎,三郎,小次郎,次郎
236600,35,結,結婚,結果,結局,結構,結ぶ,結論
235431,53,教,教える,教,教授,教師,教会,教育
234268,36,関,関係,玄関,機関,関心,に関する,に関して
233258,47,開,開く,開ける,開始,開発,展開,見開く
232847,44,仕,仕事,仕方,仕える,仕る,仕掛ける,仕草
232819,47,連,連中,連れる,連絡,連れ,連続,連合
232453,28,歩,歩く,歩,散歩,歩む,歩み寄る,歩道
232047,56,空,空,空気,空間,空中,空く,航空
230696,75,色,色,顔色,灰色,色々,黄色い,緑色
227804,33,問,問題,質問,疑問,問う,訪問,問い
227328,125,込,込む,飛び込む,突っ込む,乗り込む,込める,巻き込む
226221,5,僕,僕,僕ら,下僕,従僕,僕達,
226081,93,引,引く,引っ張る,引きずる,引き受ける,取引,引き返す
224725,1,俺,俺,,,,,
224458,83,文,文,文字,文句,文化,文学,文章
224456,28,帰,帰る,帰り,帰国,帰宅,帰す,帰れる
222078,75,正,正しい,正直,正面,正確,正,正体
221090,108,木,木,鈴木,佐々木,木々,木村,木戸
219247,69,落,落ちる,落とす,落ち着く,落す,落ちつく,落下
218267,32,八,八,八月,八郎,八つ,八千代,八雲
215367,95,水,水,水面,清水,水平,水野,水中
214455,54,軍,軍,将軍,海軍,陸軍,軍人,軍隊
212308,118,野,野,野郎,野球,遠野,上野,野菜
212232,20,違,違う,違い,間違い,間違う,相違,間違える
211503,46,機,機,機会,機械,機関,機嫌,飛行機
211396,35,母,母,母親,お母さん,祖母,母さん,叔母
210321,31,待,待つ,期待,お待ち,招待,待機,待ち
209429,36,使,使う,使い,使用,使,使える,天使
209363,79,風,風,風呂,風景,風邪,風間,風情
206088,109,川,川,十津川,徳川,小川,石川,大川
205738,44,別,別,別に,特別,別れる,別れ,別荘
204721,43,命,命,命令,生命,命じる,運命,革命
204641,82,太,太,太郎,太陽,太い,太一,太る
202263,48,次,次,次に,次第に,次々,次第,小次郎
201181,54,光,光,光る,光景,光秀,観光,光らせる
199999,82,天,天,天井,天皇,天下,天使,天気
199820,39,数,数,無数,数える,数字,多数,人数
198919,65,重,重い,重要,重,重ねる,重大,慎重
198351,56,回,回,回る,今回,回す,回転,見回す
196886,73,直,正直,直す,直接,素直,直後,直
196202,9,六,六,六月,六つ,六本木,六郎,六蔵
195803,31,表,表情,表,表現,発表,代表,表面
194137,47,強,強い,勉強,強烈,強力,強引,強制
193966,42,多,多い,多く,多少,多分,多数,多
193200,4,誰,誰,誰か,誰彼,誰何,,
192791,31,要,必要,重要,要求,要するに,要る,要素
191447,45,点,点,傍点,時点,地点,点く,欠点
190799,41,士,博士,騎士,士,兵士,同士,武士
190539,34,社,会社,社会,社長,社,神社,社員
190392,37,電,電話,電車,電気,電灯,電子,電報
